state_name,year,condition_status,counts,condition
New York,2003,Yes,9398,pregnancy-associated_hypertension
New York,2003,No,240654,pregnancy-associated_hypertension
New York,2003,Unknown or Not Stated,3662,pregnancy-associated_hypertension
New York,2004,Yes,7750,pregnancy-associated_hypertension
New York,2004,No,240146,pregnancy-associated_hypertension
New York,2004,Unknown or Not Stated,2051,pregnancy-associated_hypertension
New York,2005,Yes,8058,pregnancy-associated_hypertension
New York,2005,No,236729,pregnancy-associated_hypertension
New York,2005,Unknown or Not Stated,1564,pregnancy-associated_hypertension
New York,2006,Yes,8269,pregnancy-associated_hypertension
New York,2006,No,240155,pregnancy-associated_hypertension
New York,2006,Unknown or Not Stated,1680,pregnancy-associated_hypertension
North Carolina,2003,Yes,6326,pregnancy-associated_hypertension
North Carolina,2003,No,111991,pregnancy-associated_hypertension
North Carolina,2004,Yes,6380,pregnancy-associated_hypertension
North Carolina,2004,No,113457,pregnancy-associated_hypertension
North Carolina,2004,Unknown or Not Stated,10,pregnancy-associated_hypertension
North Carolina,2005,Yes,6886,pregnancy-associated_hypertension
North Carolina,2005,No,116207,pregnancy-associated_hypertension
North Carolina,2006,Yes,6849,pregnancy-associated_hypertension
North Carolina,2006,No,121008,pregnancy-associated_hypertension
North Dakota,2003,Yes,309,pregnancy-associated_hypertension
North Dakota,2003,No,7636,pregnancy-associated_hypertension
North Dakota,2003,Unknown or Not Stated,27,pregnancy-associated_hypertension
North Dakota,2004,Yes,354,pregnancy-associated_hypertension
North Dakota,2004,No,7807,pregnancy-associated_hypertension
North Dakota,2004,Unknown or Not Stated,28,pregnancy-associated_hypertension
North Dakota,2005,Yes,334,pregnancy-associated_hypertension
North Dakota,2005,No,8048,pregnancy-associated_hypertension
North Dakota,2006,Yes,289,pregnancy-associated_hypertension
North Dakota,2006,No,8326,pregnancy-associated_hypertension
Ohio,2003,Yes,6536,pregnancy-associated_hypertension
Ohio,2003,No,143134,pregnancy-associated_hypertension
Ohio,2004,Yes,6370,pregnancy-associated_hypertension
Ohio,2004,No,142570,pregnancy-associated_hypertension
Ohio,2004,Unknown or Not Stated,14,pregnancy-associated_hypertension
Ohio,2005,Yes,6263,pregnancy-associated_hypertension
Ohio,2005,No,141971,pregnancy-associated_hypertension
Ohio,2005,Unknown or Not Stated,154,pregnancy-associated_hypertension
Ohio,2006,Yes,5675,pregnancy-associated_hypertension
Ohio,2006,No,142553,pregnancy-associated_hypertension
Ohio,2006,Unknown or Not Stated,2365,pregnancy-associated_hypertension
Oklahoma,2003,Yes,2078,pregnancy-associated_hypertension
Oklahoma,2003,No,47899,pregnancy-associated_hypertension
Oklahoma,2003,Unknown or Not Stated,1004,pregnancy-associated_hypertension
Oklahoma,2004,Yes,2152,pregnancy-associated_hypertension
Oklahoma,2004,No,46668,pregnancy-associated_hypertension
Oklahoma,2004,Unknown or Not Stated,2486,pregnancy-associated_hypertension
Oklahoma,2005,Yes,2304,pregnancy-associated_hypertension
Oklahoma,2005,No,48267,pregnancy-associated_hypertension
Oklahoma,2005,Unknown or Not Stated,1230,pregnancy-associated_hypertension
Oklahoma,2006,Yes,2283,pregnancy-associated_hypertension
Oklahoma,2006,No,51230,pregnancy-associated_hypertension
Oklahoma,2006,Unknown or Not Stated,503,pregnancy-associated_hypertension
Oregon,2003,Yes,2149,pregnancy-associated_hypertension
Oregon,2003,No,43439,pregnancy-associated_hypertension
Oregon,2003,Unknown or Not Stated,365,pregnancy-associated_hypertension
Oregon,2004,Yes,2330,pregnancy-associated_hypertension
Oregon,2004,No,43019,pregnancy-associated_hypertension
Oregon,2004,Unknown or Not Stated,329,pregnancy-associated_hypertension
Oregon,2005,Yes,2359,pregnancy-associated_hypertension
Oregon,2005,No,43294,pregnancy-associated_hypertension
Oregon,2005,Unknown or Not Stated,269,pregnancy-associated_hypertension
Oregon,2006,Yes,2684,pregnancy-associated_hypertension
Oregon,2006,No,45702,pregnancy-associated_hypertension
