"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",12098
NA,"""Maine""","""23""","""2018""","""2018""","""Unknown or Not Stated""","""9""",48
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",150
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",11562
NA,"""Maine""","""23""","""2019""","""2019""","""Unknown or Not Stated""","""9""",67
NA,"""Maine""","""23""","""2020""","""2020""","""Yes""","""1""",171
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",11205
NA,"""Maine""","""23""","""2020""","""2020""","""Unknown or Not Stated""","""9""",163
NA,"""Maine""","""23""","""2021""","""2021""","""Yes""","""1""",174
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",11785
NA,"""Maine""","""23""","""2021""","""2021""","""Unknown or Not Stated""","""9""",47
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",1155
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",71888
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",93
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",1190
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",70409
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",1189
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",69822
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",1118
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",69029
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",31
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",1202
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",67325
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",27
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",1070
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",67196
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",851
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",70360
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",106
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",879
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",69747
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",936
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",68099
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",74
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",983
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",67993
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",141
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",1004
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",65189
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",235
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",1028
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",67428
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",681
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",1657
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",110633
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1025
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",1538
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",108437
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1451
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",1581
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",107407
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1044
